from,to,cosine_similarity
d5d156772823c8ae2383e9b610a796ce,d5d156772823c8ae2383e9b610a796ce,1.0
d5d156772823c8ae2383e9b610a796ce,0162518c50d63d5ce740ce27822699d3,0.46482292
d5d156772823c8ae2383e9b610a796ce,ce2e102d5599f55deb33454fb419c876,0.5827451
d5d156772823c8ae2383e9b610a796ce,17c696661b82940b24d3713a81aaf7b8,0.06536224
d5d156772823c8ae2383e9b610a796ce,c90e83422cc8effdf075201fe94dfdfc,-0.2592727
d5d156772823c8ae2383e9b610a796ce,430f1e374f8dfcf5c4e7d587084229b7,0.08084486
d5d156772823c8ae2383e9b610a796ce,ec5396c1c5b1dee5677e6cd32a8fc0b4,0.34524113
d5d156772823c8ae2383e9b610a796ce,46931c05e760dcd7d8bae2aa64de1409,-0.022925204
d5d156772823c8ae2383e9b610a796ce,ef83a97a257bcd14b040368d433057dd,0.16548657
d5d156772823c8ae2383e9b610a796ce,62b14a488e0daecbbc419196ad68483e,-0.0057672625
d5d156772823c8ae2383e9b610a796ce,a905392f211911702c077cc6d68b79a7,0.37904462
d5d156772823c8ae2383e9b610a796ce,9a29c7072d4445705c268b0616b42c41,-0.14608623
d5d156772823c8ae2383e9b610a796ce,f0afc9484be0813bf9d6a71ee6dba0a2,-0.05513374
d5d156772823c8ae2383e9b610a796ce,be9b2b2b8a1396f15bb362cd8068130d,0.49768472
d5d156772823c8ae2383e9b610a796ce,3db735deea9e134442d9bf93adf52b98,0.67727035
d5d156772823c8ae2383e9b610a796ce,b9b0d15647624e0fc1451a0de00e487a,-0.3179204
d5d156772823c8ae2383e9b610a796ce,d3c022089149fd9f472a4d742703323c,0.45461053
d5d156772823c8ae2383e9b610a796ce,9e90c5f7d4d56729c17c725cb7565e12,-0.21237
d5d156772823c8ae2383e9b610a796ce,18334dc829a22259d808b43e1d029824,0.42858112
d5d156772823c8ae2383e9b610a796ce,7e02b11cd79d13c0d77ab8370076df3b,0.7291556
0162518c50d63d5ce740ce27822699d3,d5d156772823c8ae2383e9b610a796ce,0.46482292
0162518c50d63d5ce740ce27822699d3,0162518c50d63d5ce740ce27822699d3,1.0
0162518c50d63d5ce740ce27822699d3,ce2e102d5599f55deb33454fb419c876,0.5851089
0162518c50d63d5ce740ce27822699d3,17c696661b82940b24d3713a81aaf7b8,0.02815784
0162518c50d63d5ce740ce27822699d3,c90e83422cc8effdf075201fe94dfdfc,-0.21578325
0162518c50d63d5ce740ce27822699d3,430f1e374f8dfcf5c4e7d587084229b7,0.49612525
0162518c50d63d5ce740ce27822699d3,ec5396c1c5b1dee5677e6cd32a8fc0b4,0.022775479
0162518c50d63d5ce740ce27822699d3,46931c05e760dcd7d8bae2aa64de1409,0.12307061
0162518c50d63d5ce740ce27822699d3,ef83a97a257bcd14b040368d433057dd,0.0021024544
0162518c50d63d5ce740ce27822699d3,62b14a488e0daecbbc419196ad68483e,0.5060058
0162518c50d63d5ce740ce27822699d3,a905392f211911702c077cc6d68b79a7,0.1552401
0162518c50d63d5ce740ce27822699d3,9a29c7072d4445705c268b0616b42c41,-0.040156137
0162518c50d63d5ce740ce27822699d3,f0afc9484be0813bf9d6a71ee6dba0a2,-0.043252822
0162518c50d63d5ce740ce27822699d3,be9b2b2b8a1396f15bb362cd8068130d,0.7821274
0162518c50d63d5ce740ce27822699d3,3db735deea9e134442d9bf93adf52b98,0.28404093
0162518c50d63d5ce740ce27822699d3,b9b0d15647624e0fc1451a0de00e487a,0.036414564
0162518c50d63d5ce740ce27822699d3,d3c022089149fd9f472a4d742703323c,0.06390384
0162518c50d63d5ce740ce27822699d3,9e90c5f7d4d56729c17c725cb7565e12,-0.1508846
0162518c50d63d5ce740ce27822699d3,18334dc829a22259d808b43e1d029824,0.29554662
0162518c50d63d5ce740ce27822699d3,7e02b11cd79d13c0d77ab8370076df3b,0.29198104
ce2e102d5599f55deb33454fb419c876,d5d156772823c8ae2383e9b610a796ce,0.5827451
ce2e102d5599f55deb33454fb419c876,0162518c50d63d5ce740ce27822699d3,0.5851089
ce2e102d5599f55deb33454fb419c876,ce2e102d5599f55deb33454fb419c876,1.0
ce2e102d5599f55deb33454fb419c876,17c696661b82940b24d3713a81aaf7b8,0.07215811
ce2e102d5599f55deb33454fb419c876,c90e83422cc8effdf075201fe94dfdfc,-0.112036355
ce2e102d5599f55deb33454fb419c876,430f1e374f8dfcf5c4e7d587084229b7,0.47152686
ce2e102d5599f55deb33454fb419c876,ec5396c1c5b1dee5677e6cd32a8fc0b4,0.13397537
ce2e102d5599f55deb33454fb419c876,46931c05e760dcd7d8bae2aa64de1409,0.08457478
ce2e102d5599f55deb33454fb419c876,ef83a97a257bcd14b040368d433057dd,0.15038061
ce2e102d5599f55deb33454fb419c876,62b14a488e0daecbbc419196ad68483e,0.3718751
ce2e102d5599f55deb33454fb419c876,a905392f211911702c077cc6d68b79a7,0.25348493
ce2e102d5599f55deb33454fb419c876,9a29c7072d4445705c268b0616b42c41,-0.07586343
ce2e102d5599f55deb33454fb419c876,f0afc9484be0813bf9d6a71ee6dba0a2,0.0029721968
