ID,名称,lon,lat,房价,tese,城区名,地址,建筑年代,geometry,街道,县,市,省,describe
3db735deea9e134442d9bf93adf52b98,北潞芳家园,116.134128,39.747177,27885,交通出行$此房出南门就是616公交总站，终点站是北京西站途径六里桥，直接一站式高速，除此还有公交901.27路，东门公交线路有897.环2.36路等公交线路。距离京港澳高速良乡机场高速入口1500米（数据来源于百度地图）。$$小区介绍$此房是2000-2002年建成的成熟大社区，开发商和物业都是昊远隆基，小区配套成熟，小区内有幼儿园，两大生活购物，医院，饭店还有四家柜台式银行，不出小区即可满足生活日常所需。$$周边配套$小区里有饭店、食堂、同济门诊，五家银行，工商，农业，建设，农商，平安.$$适宜人群$距大门近，楼下就有小门，距离小广场近，楼层低，单元居中，小区配套完善，老人儿童皆宜。,房山小区,(房山良乡)北潞芳家园,2000,POINT (116.134128 39.747177),拱辰街道,房山区,北京市,北京市,"Transportation
The south exit of this house leads directly to the main bus station 616, whose terminal is Beijing West Station, passing through Liuliqiao with direct one-stop high-speed access. In addition, there are buses 901 and 27. The east gate offers bus routes 897, Circular 2, and 36, among others. The entrance to the Jingkai Expressway and Liangxiang Airport Expressway is 1500 meters away (data sourced from Baidu Maps).
Community Introduction
This house is part of a mature, large community built between 2000 and 2002, developed and managed by Haoyuan Longji. The community is well-equipped, featuring a kindergarten, two major shopping areas, a hospital, restaurants, and four counter-style banks, meeting all everyday needs without leaving the community.
Surrounding Facilities
Within the community, there are restaurants, cafeterias, Tongji Clinic, and five banks: ICBC, Agricultural Bank of China, China Construction Bank, Rural Commercial Bank, and Ping An Bank.
Suitable for
Close to the main gate, with a small door right downstairs, near a small plaza, low floor level, centrally located within the unit, well-equipped community, suitable for both elderly and children."
46931c05e760dcd7d8bae2aa64de1409,长椿街西里,116.369101,39.904269,124348,交通出行$房子距离二号线长椿街地铁200米，公交车站长椿街路口东、长椿街路口西三十多条公交线路。驾车出行可北通长安街，西通西二环，出行方便。$$小区介绍$小区是房管所的单位分房，小区有独立环境，自己独立管理，十分干净和惬意。小区已经从新做过外墙保温和上下水。小区居住人群十分有素质，楼道无过多杂物，干净整洁。$$周边配套$小区配套齐全，小区南侧300米为宣武艺园，公园里有水系和野生动物，白天免费开放，配备了1公里的环形跑道。医院：有宣武医院和广安门中医院。商场：国华商场，日日生鲜市场，有4个菜市场，生活便利。$$适宜人群$适合一家三口，各种年龄段人群，适合一家三口，或者乘坐地铁二号线的人群。,西城小区,(西城长椿街)长椿街西里,1973,POINT (116.369101 39.904269),西长安街街道,西城区,北京市,北京市,"Transportation
The house is located 200 meters from Changchun Street Station on Subway Line 2, and has access to over thirty bus routes at the Changchun Street East and West junctions. For drivers, it provides convenient connections to Chang'an Street to the north and the West Second Ring Road.

Community Introduction
This community is designated housing provided by the housing management office, featuring an independent and self-managed environment that is exceptionally clean and pleasant. The community has recently upgraded external wall insulation and plumbing systems. The residents are of high quality, with no excess clutter in the corridors, maintaining cleanliness and order.

Surrounding Facilities
The community offers comprehensive amenities, including Xuanwu Art Garden 300 meters to the south, which features water bodies and wildlife, is open for free during the day, and has a 1-kilometer circular track. Healthcare facilities include Xuanwu Hospital and Guang'anmen Traditional Chinese Medicine Hospital. Shopping options are plentiful with Guohua Mall, Ririsheng Fresh Market, and four vegetable markets, ensuring convenience for everyday needs.

Suitable for
Ideal for a family of three, accommodating people of all ages, and particularly suitable for families or individuals who utilize Subway Line 2 frequently."
a905392f211911702c077cc6d68b79a7,沙河展思门,116.281399,40.13973,33265,交通出行$小区门口就是专66路公交汽车站，距离巩华城地铁站2站公交车站，小区往西1000米是八达岭高速方便出行。,昌平小区,"(昌平沙河)沙河展思门路2号, 展思门路74号院",1980,POINT (116.281399 40.13973),沙河地区,昌平区,北京市,北京市,"Transportation
Right at the community entrance is the dedicated Route 66 bus station, with only two bus stops to the Gonghuacheng Subway Station. The community is also conveniently located 1000 meters west of the Badaling Expressway, facilitating easy travel."
62b14a488e0daecbbc419196ad68483e,月坛北小街甲7号院,116.352622,39.925716,139395,交通出行$交通有往南一号线、往北二号线、往西十六号线，月坛南街、月坛北街、三里河东路、南礼士路上有多条公交线路、四通八达。$$小区介绍$小区是水电部和国家电力的，小区4栋楼管理好，楼道干净，小区院里很方正，院内基本都是单位干部，人文环境好$$周边配套$买菜有南营房生活服务市场、顺天府市、美廉美市等；购物有长安商场，万通商场、天意商城、金融街购物广场等；医疗有复兴医院、儿童医院，协和医院、北大人民医院等；公园有月坛公园、南礼士路公园、玉渊潭公园；银行有北京、光大、工商、农业、建设。$$适宜人群$房间空间大，老人，小孩儿，年轻人，喜欢安静的，喜欢有小区管理的，喜欢有绿植的，喜欢居住人群单一的，喜欢邻里和睦的，等等都可以选择！,西城小区,(西城月坛)月坛北小街甲7号院,1978,POINT (116.352622 39.925716),新街口街道,西城区,北京市,北京市,"Transportation
The area is well-connected with multiple transportation options including the southbound Line 1, northbound Line 2, and westbound Line 16. There are numerous bus routes available on Yuetan South Street, Yuetan North Street, Sanlihe East Road, and Nanlishilu Road, providing extensive connectivity.

Community Introduction
The community, owned by the Ministry of Water Resources and the State Electricity Department, comprises four well-managed buildings with clean hallways. The community courtyard is well-proportioned, mostly inhabited by departmental officials, contributing to a good cultural environment.

Surrounding Facilities
For groceries, there are markets like Nanyingfang Life Service Market, Shuntianfu Market, and Meilianmei Market; shopping options include Chang'an Mall, Wantong Mall, Tianyi Mall, and Financial Street Shopping Plaza. Medical facilities nearby include Fuxing Hospital, Children's Hospital, Xiehe Hospital, and Peking University People's Hospital. There are parks like Yuetan Park, Nanlishilu Park, and Yuyuantan Park. Banks such as Bank of Beijing, Everbright, ICBC, Agricultural Bank, and Construction Bank are also accessible.

Suitable for
This residence is suitable for various demographics including the elderly, children, young people, those who appreciate tranquility, well-managed community living, green planting, a homogeneous resident population, and harmonious neighborhood relations."
ef83a97a257bcd14b040368d433057dd,京粮悦谷首城2号院,116.3812892,39.81716403,52386,交通出行$距地铁4号线和19号线新宫站直线距离533米（数据来源于百度地图测距），公交车有353路;354路;827路;954路，交通便利，出行方便$$小区介绍$小区是19年建成的次新房，物业是绿城物业，管理比较好。小区一共6栋楼，二梯五户的板楼，有地下停车场乒乓球场，健身公园，绿化高，带电梯，集中供暖，适宜居住$$周边配套$四号线新宫地铁站，北边为槐房万达广场，东边是南苑公园，配套成熟；$$适宜人群$此房为19年建成的次新房，带电梯，小区物业管理好，离地铁近，适合各个年龄段人群购买居住。,丰台小区,(丰台新宫)槐顺路2号院,2018,POINT (116.38128917509 39.817164033209),南苑地区,丰台区,北京市,北京市,"Transportation
The property is just 533 meters away in a straight line from Xingong Station, served by Subway Lines 4 and 19 (data sourced from Baidu Maps). Bus routes available include 353, 354, 827, and 954, offering convenient transportation and ease of travel.

Community Introduction
This community was established in 2019 and features relatively new residences. The property is managed by Greentown Property Management, known for their good management practices. The community consists of six buildings, designed with two elevators for every five units in a slab-type building. Amenities include an underground parking lot, a ping pong area, a fitness park, and high greenery coverage. The buildings are equipped with elevators, centralized heating, and are suitable for living.

Surrounding Facilities
Close to Xingong Subway Station on Line 4, the area is well-developed with Huaifang Wanda Plaza to the north and Nanyuan Park to the east.

Suitable for
This property, built in 2019, features an elevator and is well-managed by the community property management. With its proximity to the subway, it is suitable for buyers from all age groups looking for a residence."
ec5396c1c5b1dee5677e6cd32a8fc0b4,和平西街23号院,116.422965,39.968994,89898,交通出行$出了小区就是公交站，有123路，75路，119路。紧挨着五号线的和平里北街站，为您的出行带来便利。$$小区介绍$小区属于煤矿文工团的宿舍，人文气息比较浓郁，小区3栋楼都已经做过外墙保温和管道更换，楼道也干净整洁，没有任何小广告，小区中间还有一个小花园，吃完饭可以在小区花园散步$$适宜人群$此房是两居户型，东南朝向，采光视野好，刚做的改造，电梯直达，适合各种客户,朝阳小区,(朝阳安贞)和平西街青年沟23号院,1980,POINT (116.422965 39.968994),和平街街道,朝阳区,北京市,北京市,"Transportation
Immediately outside the community is a bus stop with routes 123, 75, and 119. It is also closely located next to the Hepingli North Street Station on Subway Line 5, offering convenience for your travel.

Community Introduction
The community is a residence for the Coal Mine Cultural Troupe, known for its rich cultural atmosphere. All three buildings in the community have undergone external wall insulation and pipe replacement. The hallways are clean and tidy with no advertisements. There is also a small garden in the middle of the community where residents can stroll after meals.

Suitable for
This property features a two-bedroom layout, facing southeast with good natural light and views. It has recently been renovated with direct elevator access, making it suitable for a variety of clients."
be9b2b2b8a1396f15bb362cd8068130d,怡然世家,116.640317,39.88633,41110,交通出行$19路，36路、316可到果园和北苑地铁，552可到6号线北运河西，582可到地铁草房站，669直达国贸，早班车807直达大北窑；出行便捷。自驾车可走广渠路和京沈高速公路。$$小区介绍$小区是2013年社区，属于通州九棵树地区，共计户数2325户，小区内有公立幼儿园，小区共有5栋楼，有活动场所健身器材。物业费1.68固定车位1800每年小区距离广渠路入口1.5公里 八通线果园站1.8公里 东直门中医院1.1公里7号线万盛西1.8公里$$周边配套$永辉（半壁店店），物美（龙湖店），大稿村菜市场，购物方便，大稿艺术区，杨家火锅，肯德基，永顺炸鸡等，建设银行，北京银行，工商银行。$$适宜人群$喜欢正规三居室的客户，适合三大居资金紧张，小三居功能齐全的客户。视野开阔 采光好，电梯房，适用人群比较广。方便老人孩子上下楼。,通州小区,(通州九棵树(家乐福))怡然世家,2005,POINT (116.640317 39.88633),梨园镇,通州区,北京市,北京市,"Transportation
Bus routes available include Route 19, 36, and 316, which provide access to Guoyuan and Beiyuan subway stations; Route 552 to Line 6 Beiyunhe West; Route 582 to Caofang subway station; Route 669 goes directly to Guomao, and the early bus 807 goes directly to Dabeiyao. Travel is convenient. By car, you can take Guangqu Road and the Jing-Shen Expressway.

Community Introduction
This community, established in 2013 and located in the Jiukeshu area of Tongzhou, has a total of 2,325 households. It includes a public kindergarten, five buildings, and facilities for physical activities and fitness equipment. The property management fee is 1.68, with fixed parking spots available at 1,800 per year. The community is 1.5 kilometers from the Guangqu Road entrance, 1.8 kilometers from Guoyuan station on the Batong Line, 1.1 kilometers from Dongzhimen Traditional Chinese Medicine Hospital, and 1.8 kilometers from Wansheng West station on Line 7.

Surrounding Facilities
Nearby amenities include Yonghui (Banbidian store), Wumei (Longhu store), Dagao Village vegetable market, making shopping convenient. There is also Dagao Art District, Yang Family Hot Pot, KFC, Yongshun Fried Chicken, and banks such as Construction Bank, Beijing Bank, and ICBC.

Suitable for
Ideal for clients looking for a regular three-bedroom apartment, suitable for those with tight budgets for a three-bedroom home but needing full functionality. The units offer broad views, good natural light, and are served by elevators, making them suitable for a wide range of people, including the elderly and children, facilitating easy access to different floors."
17c696661b82940b24d3713a81aaf7b8,凯德品元,116.392113,39.979809,83934,"交通出行$北三环马甸桥东北角，交通便利，小区南邻北三环，西邻八达岭高速，东边到中轴路780米；
距离马甸桥有大约400米，距离地铁10号线建德门地铁站有470米，距离地铁8号线安华桥地铁站有766米。（以上数据来源高德地图）$$小区介绍$小区位于北三环中路马甸桥东北角，2010年楼龄新，小区一共2栋楼，不临街，前后花园，闹中取静。由北京凯德品元房地产开发有限公司建设，物业公司是北京绿城物业，管家式的物业服务。社区居住人群素质高，邻里关系和睦。$$适宜人群$家里有老人孩子的，楼层不高，还有电梯，精装修，小区管理好，前后有花园，适合居家。",朝阳小区,(朝阳马甸)裕民路12号院,2005,POINT (116.392113 39.979809),亚运村街道,朝阳区,北京市,北京市,"Transportation
Located at the northeast corner of Madian Bridge along the North Third Ring, the community enjoys convenient transportation. It is adjacent to the North Third Ring to the south, the Badaling Expressway to the west, and 780 meters east to the Central Axis Road. Approximately 400 meters from Madian Bridge, 470 meters from Jiandemen Station on Subway Line 10, and 766 meters from Anhua Bridge Station on Subway Line 8 (data sourced from Amap).

Community Introduction
Situated at the northeast corner of Madian Bridge on the North Third Ring Central Road, this community was built in 2010. It comprises two buildings that are not facing the street, featuring front and back gardens, providing a peaceful retreat amidst the hustle and bustle. Developed by Beijing Kai De Pin Yuan Real Estate Development Co., Ltd., and managed by Beijing Greentown Property, the property offers butler-style services. The community is known for its high-quality resident demographic and harmonious neighborly relations.

Suitable for
Ideal for families with elderly members and children, the buildings are not too tall and are equipped with elevators. The apartments are finely decorated, and the community is well-managed with gardens at the front and back, making it suitable for residential living."
7e02b11cd79d13c0d77ab8370076df3b,石佛营东里128号院,116.512873,39.939569,58657,交通出行$小区位于朝阳区姚家园路南侧，石佛营路东侧，石佛营路上有多条公交线路 如991.675.486 595等，出行方便。乘坐地铁是6号线十里堡站B口。$$小区介绍$小区当时朝阳区房管单位给职工的福利分房，小区两栋楼，建筑质量挺好的，物业管理也还不错，3部电梯一层12户，总高20层，老住户都是朝阳建委的职工，人文环境不错，素质高。$$周边配套$本小区属于成熟社区，居住舒适度较高，石佛营东里105号院、石佛营西里院内有社区医院，石佛营东里112号楼1层是一个大的生活市场！,朝阳小区,(朝阳石佛营)石佛营东里128号院,1999,POINT (116.512873 39.939569),平房地区（乡）,朝阳区,北京市,北京市,"Transportation
The community is located on the south side of Yaojiayuan Road in Chaoyang District, on the east side of Shifoying Road, which hosts multiple bus routes such as 991, 675, 486, 595, ensuring convenient travel options. The nearest subway station is Shilipu Station on Line 6, exit B.

Community Introduction
This community was initially allocated as welfare housing for staff by the Chaoyang District housing management unit. It consists of two well-constructed buildings, with satisfactory property management. Each of the 20-story buildings has 3 elevators serving 12 households per floor. The long-term residents are mostly staff from the Chaoyang Construction Commission, contributing to a good cultural environment and high community standards.

Surrounding Facilities
The community is part of a well-established area, offering a high level of living comfort. Inside the community, such as at Shifoying East No. 105 courtyard and Shifoying West courtyard, there is a community hospital. There is also a large daily market on the first floor of the building at Shifoying East No. 112."
9e90c5f7d4d56729c17c725cb7565e12,碧湖居,116.480024,39.944529,69573,交通出行$小区东门东走50米就是朝阳公园西二门，往北走50米就是公交站，有673.419.985路和421路，往北走548米就是地铁14号线枣营地铁站（百度测量）$$小区介绍$这个小区是1996年的外销公寓，【卖给港澳台和外国人的】，由物业达尔文管理，24小时管家式服务，人车分流。现状为精装修！小区是5-8层不等电梯洋房，小区共分8个单元，共有314户，小区居民素质较高，小区内部安静，居住舒适。$$周边配套$小区到朝阳公园西二门50米，可以直接进公园遛弯，出小区东门，往北走584米到地铁14号线枣营站，往南走998米到14号线朝阳公园站，往北走1100到蓝色港湾购物，往北走1000米到枣营京客隆和258生活广场（以上数据来源于百度地图）$$适宜人群$小区达尔文物业，封闭式管理，人车分流，小区内部安静，带一个小区花园广场，房子是一层的，适合老年人居住或者一家三代人带老人一起居住，,朝阳小区,(朝阳农展馆)朝阳公园西路9号院,1998,POINT (116.480024 39.944529),麦子店街道,朝阳区,北京市,北京市,"Transportation
Just 50 meters east of the community's east gate is the West Second Gate of Chaoyang Park, and 50 meters to the north is a bus station served by routes 673, 419, 985, and 421. Walking 548 meters north leads to Zhaoyang Subway Station on Line 14 (measured by Baidu).

Community Introduction
This community, built in 1996, was initially developed as export-oriented apartments for sale to residents from Hong Kong, Macau, Taiwan, and foreigners. It is managed by Darwin Property Management with 24-hour concierge-style service and segregates pedestrian and vehicle traffic. The current condition is finely decorated. The community consists of 5 to 8-story elevator apartment buildings, divided into 8 units with a total of 314 households. The residents are of high quality, the community interior is quiet, and living conditions are comfortable.

Surrounding Facilities
The community is 50 meters from the West Second Gate of Chaoyang Park, allowing direct access to the park for walks. Exiting the east gate and heading north, it is 584 meters to Zhaoyang Station on Subway Line 14, 998 meters south to Chaoyang Park Station on Line 14, 1100 meters north to Blue Harbor Shopping, and 1000 meters north to Zhaoyang Jingkelong and 258 Life Plaza (data sourced from Baidu Maps).

Suitable for
Managed by Darwin Property with gated access and segregated traffic, the community interior is tranquil, featuring a garden square, making it ideal for elderly residents or families with multiple generations living together, providing a quiet and comfortable environment."
